id;url;time;user
154;http://readms.net/r/hunter_x_hunter/;818944973;liger
390;http://readms.net/r/hunter_x_hunter/;16352117;mouse
605;https://tproger.ru/articles/problems/;732073619;tiger
124;https://docs.oracle.com/;37418349;chihuahua
265;http://info.javarush.ru/;570266874;chihuahua
934;https://github.com/;918484203;zebra
615;http://sorting.valemak.com/;930292;beaver
488;https://www.quora.com/;398247394;monkey
597;https://www.google.ru/search;547516858;snake
696;http://info.javarush.ru/;208042744;duck
