id;url;time;user
234;http://ccfit.nsu.ru/;481152419;chihuahua
503;https://docs.oracle.com/;988105150;cat
641;https://tproger.ru/articles/problems/;505401606;chihuahua
112;https://www.youtube.com/;109446519;cat
480;http://www.javaproblems.com/2013/11/java-string-3-notreplace-codingbat.html;619444498;monkey
135;https://javacorejune.slack.com/;600324525;dodo
363;http://sorting.valemak.com/;644393996;fish
431;https://stackoverflow.com/questions/;316640535;dog
437;http://readms.net/r/hunter_x_hunter/;176919591;dodo
477;http://www.javaproblems.com/2013/11/java-string-3-notreplace-codingbat.html;976837578;mouse
