id;url;time;user
203;http://www.javaproblems.com/2013/11/java-string-3-notreplace-codingbat.html;495217907;chihuahua
365;https://stackoverflow.com/questions/;121879103;lion
554;https://stackoverflow.com/questions/1388602/;840523438;cow
151;http://ccfit.nsu.ru/;918516464;duck
485;https://twitter.com/;511403787;giraffe
724;https://www.cybersport.ru/news/;739118527;owl
374;https://www.quora.com/;860913985;zebra
985;https://www.avito.ru/sankt-peterburg/;536112894;monkey
360;https://translate.google.ru/;299365487;lion
899;http://sorting.valemak.com/;801960835;lion
