id;url;time;user
312;https://javacorejune.slack.com/;699962199;fish
211;https://twitter.com/;407609543;frog
444;https://www.avito.ru/sankt-peterburg/;401580315;chihuahua
986;http://readms.net/r/hunter_x_hunter/;192237276;mouse
871;https://stackoverflow.com/questions/;977763694;giraffe
320;http://readms.net/r/hunter_x_hunter/;704221731;bear
290;https://www.twitch.tv/videos/;952047155;duck
619;https://translate.google.ru/;910118732;beaver
327;https://github.com/;453424422;dodo
697;https://www.cybersport.ru/news/;1478847;beaver
