id;url;time;user
350;https://vk.com/feed;910022174;beaver
622;https://www.cybersport.ru/news/;623140414;duck
851;https://stackoverflow.com/questions/;204878208;wolf
259;https://vk.com/feed;937018064;snake
704;https://twitter.com/;736856922;frog
395;https://stackoverflow.com/questions/;26013932;liger
701;https://tproger.ru/articles/problems/;864459976;bear
186;https://www.avito.ru/sankt-peterburg/;229193542;liger
786;https://javacorejune.slack.com/;575777772;wolf
319;https://javacorejune.slack.com/;110991020;wolf
