id;url;time;user
798;http://www.javaproblems.com/2013/11/java-string-3-notreplace-codingbat.html;60012654;lion
375;https://www.twitch.tv/videos/;728884978;dodo
988;https://translate.google.ru/;725752812;dodo
122;https://stackoverflow.com/questions/;351656220;owl
579;https://habrahabr.ru/post/334966/;384337025;tiger
623;https://www.quora.com/;578695709;snake
202;https://docs.oracle.com/;36839868;dog
377;https://www.youtube.com/;948243326;wolf
356;https://docs.oracle.com/;334323642;giraffe
640;http://sorting.valemak.com/;596784688;dodo
