id;url;time;user
229;http://ccfit.nsu.ru/;648170138;giraffe
630;http://www.javaproblems.com/2013/11/java-string-3-notreplace-codingbat.html;982592165;giraffe
153;http://ccfit.nsu.ru/;229479858;cat
987;https://www.avito.ru/sankt-peterburg/;523670132;giraffe
383;https://www.youtube.com/;731800495;fish
579;https://www.avito.ru/sankt-peterburg/;906386150;liger
515;https://docs.oracle.com/;47393055;cat
588;https://stackoverflow.com/questions/1388602/;643749789;zebra
686;https://github.com/;890092162;wolf
470;https://www.youtube.com/;178136532;bear
